p(t)=0.75-0.75*((1-(4*alpha/3))^t)
alpha=0.01
Time,p(t)
0,0.0
1,0.01
2,0.0198666666667
3,0.0296017777778
4,0.0392070874074
5,0.048684326242
6,0.0580352018921
7,0.0672613992002
8,0.0763645805442
9,0.0853463861369
10,0.0942084343218
11,0.102952321864
12,0.111579624239
13,0.120091895916
14,0.128490670637
15,0.136777461695
16,0.144953762206
17,0.153021045377
18,0.160980764772
19,0.168834354575
20,0.176583229847
21,0.184228786782
22,0.191772402959
23,0.199215437586
24,0.206559231751
25,0.213805108661
26,0.220954373879
27,0.228008315561
28,0.234968204687
29,0.241835295291
30,0.248610824687
31,0.255296013691
32,0.261892066842
33,0.268400172617
34,0.274821503649
35,0.281157216934
36,0.287408454041
37,0.293576341321
38,0.299661990103
39,0.305666496902
40,0.31159094361
41,0.317436397695
42,0.323203912392
43,0.328894526894
44,0.334509266535
45,0.340049142981
46,0.345515154408
47,0.350908285683
48,0.356229508541
49,0.36147978176
50,0.366660051336
51,0.371771250652
52,0.376814300643
53,0.381790109968
54,0.386699575169
55,0.391543580833
56,0.396322999755
57,0.401038693092
58,0.405691510517
59,0.410282290377
60,0.414811859839
61,0.419281035041
62,0.42369062124
63,0.428041412957
64,0.432334194118
65,0.436569738196
66,0.440748808353
67,0.444872157575
68,0.448940528808
69,0.45295465509
70,0.456915259689
71,0.460823056227
72,0.46467874881
73,0.468483032159
74,0.472236591731
75,0.475940103841
76,0.47959423579
77,0.483199645979
78,0.486756984033
79,0.490266890912
80,0.493729999033
81,0.49714693238
82,0.500518306615
83,0.503844729193
84,0.50712679947
85,0.510365108811
86,0.513560240693
87,0.516712770817
88,0.519823267207
89,0.522892290311
90,0.525920393106
91,0.528908121198
92,0.531856012916
93,0.53476459941
94,0.537634404751
95,0.540465946021
96,0.543259733408
97,0.546016270296
98,0.548736053358
99,0.551419572647
100,0.554067311678
101,0.556679747523
102,0.559257350889
103,0.56180058621
104,0.564309911728
105,0.566785779571
106,0.569228635844
107,0.571638920699
108,0.574017068423
109,0.576363507511
110,0.578678660744
111,0.580962945267
112,0.583216772664
113,0.585440549028
114,0.587634675041
115,0.589799546041
116,0.591935552093
117,0.594043078066
118,0.596122503691
119,0.598174203642
120,0.600198547594
121,0.602195900292
122,0.604166621622
123,0.606111066667
124,0.608029585778
125,0.609922524634
126,0.611790224306
127,0.613633021315
128,0.615451247697
129,0.617245231061
130,0.619015294647
131,0.620761757385
132,0.622484933954
133,0.624185134834
134,0.62586266637
135,0.627517830818
136,0.629150926407
137,0.630762247388
138,0.63235208409
139,0.633920722969
140,0.635468446662
141,0.63699553404
142,0.638502260253
143,0.639988896783
144,0.641455711493
145,0.642902968673
146,0.64433092909
147,0.645739850036
148,0.647129985369
149,0.648501585564
150,0.649854897756
151,0.651190165786
152,0.652507630242
153,0.653807528506
154,0.655090094792
155,0.656355560195
156,0.657604152726
157,0.658836097356
158,0.660051616058
159,0.661250927844
160,0.662434248806
161,0.663601792155
162,0.66475376826
163,0.665890384683
164,0.667011846221
165,0.668118354938
166,0.669210110205
167,0.670287308736
168,0.671350144619
169,0.672398809358
170,0.6734334919
171,0.674454378674
172,0.675461653625
173,0.676455498244
174,0.6774360916
175,0.678403610379
176,0.679358228907
177,0.680300119189
178,0.681229450933
179,0.682146391587
180,0.683051106366
181,0.683943758281
182,0.684824508171
183,0.685693514728
184,0.686550934532
185,0.687396922071
186,0.688231629777
187,0.689055208047
188,0.689867805273
189,0.690669567869
190,0.691460640298
191,0.692241165094
192,0.693011282892
193,0.693771132454
194,0.694520850688
195,0.695260572679
196,0.69599043171
197,0.696710559287
198,0.697421085163
199,0.698122137361
200,0.698813842196
201,0.6994963243
202,0.700169706643
203,0.700834110554
204,0.701489655747
205,0.702136460337
206,0.702774640866
207,0.703404312321
208,0.704025588156
209,0.704638580314
210,0.705243399244
211,0.70584015392
212,0.706428951868
213,0.707009899176
214,0.707583100521
215,0.70814865918
216,0.708706677058
217,0.709257254697
218,0.709800491301
219,0.710336484751
220,0.710865331621
221,0.711387127199
222,0.711901965503
223,0.712409939296
224,0.712911140106
225,0.713405658238
226,0.713893582794
227,0.714375001691
228,0.714850001668
229,0.715318668312
230,0.715781086068
231,0.716237338254
232,0.716687507077
233,0.71713167365
234,0.717569918001
235,0.718002319094
236,0.71842895484
237,0.718849902108
238,0.719265236747
239,0.71967503359
240,0.720079366476
241,0.720478308256
242,0.720871930813
243,0.721260305069
244,0.721643501001
245,0.722021587654
246,0.722394633152
247,0.72276270471
248,0.723125868647
249,0.723484190399
250,0.723837734527
251,0.724186564733
252,0.72453074387
253,0.724870333952
254,0.725205396166
255,0.725535990884
256,0.725862177672
257,0.726184015303
258,0.726501561765
259,0.726814874275
260,0.727124009285
261,0.727429022494
262,0.727729968861
263,0.72802690261
264,0.728319877242
265,0.728608945545
266,0.728894159604
267,0.72917557081
268,0.729453229866
269,0.729727186801
270,0.729997490977
271,0.730264191097
272,0.730527335216
273,0.730786970746
274,0.73104314447
275,0.731295902543
276,0.731545290509
277,0.731791353303
278,0.732034135259
279,0.732273680122
280,0.732510031053
281,0.732743230639
282,0.732973320898
283,0.733200343286
284,0.733424338708
285,0.733645347526
286,0.733863409559
287,0.734078564098
288,0.73429084991
289,0.734500305244
290,0.734706967841
291,0.734910874937
292,0.735112063271
293,0.735310569094
294,0.735506428173
295,0.735699675797
296,0.735890346786
297,0.736078475496
298,0.736264095823
299,0.736447241212
300,0.736627944662
301,0.736806238733
302,0.73698215555
303,0.73715572681
304,0.737326983785
305,0.737495957335
306,0.737662677904
307,0.737827175532
308,0.737989479858
309,0.738149620127
310,0.738307625192
311,0.738463523522
312,0.738617343209
313,0.738769111966
314,0.73891885714
315,0.739066605711
316,0.739212384302
317,0.739356219178
318,0.739498136255
319,0.739638161105
320,0.739776318957
321,0.739912634704
322,0.740047132908
323,0.740179837803
324,0.740310773299
